ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados,Minutos Totales
341950,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '1 May, 2015'}",1.0,2,499,0,01/05/2015 00:00,3265,8945
342100,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing","{'date': '7 May, 2015'}",0.0,2,799,0,07/05/2015 00:00,3259,221
342130,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Includes level editor, Family Sharing","{'date': '1 Jun, 2016'}",0.0,2,0,0,01/06/2016 00:00,2868,301
342350,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '7 Apr, 2015'}",0.0,1,299,0,07/04/2015 00:00,3289,71
342360,"Adventure, Casual, Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing","{'date': '13 Jan, 2015'}",0.0,2,999,0,13/01/2015 00:00,3373,456
342450,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '13 Feb, 2015'}",0.0,1,124,0,13/02/2015 00:00,3342,252
342500,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '21 Jan, 2015'}",0.0,1,1999,0,21/01/2015 00:00,3365,208
342510,"Casual, Indie, RPG","Single-player, Steam Trading Cards, Family Sharing","{'date': '29 Jan, 2015'}",0.0,1,499,0,29/01/2015 00:00,3357,56
342890,"Casual, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Family Sharing","{'date': '5 Mar, 2015'}",1.0,1,199,0,05/03/2015 00:00,3322,71
343020,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '30 Jan, 2015'}",0.0,2,799,0,30/01/2015 00:00,3356,301
343280,"Action, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '24 Jul, 2015'}",0.0,2,1299,0,24/07/2015 00:00,3181,490
