Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas,Precio
3500,1110910,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '18 Aug, 2021'}",2021-08-18 00:00:00,959,0.0,27,2999
3501,1207780,"Action, Adventure, Casual, Indie","Single-player, Family Sharing","{'coming_soon': False, 'date': '1 May, 2020'}",2020-05-01 00:00:00,1433,0.0,6,299
3502,1282690,"Action, Adventure, Strategy","Single-player, Multi-player, PvP, Online PvP, Full controller support","{'coming_soon': False, 'date': '4 Jun, 2020'}",2020-06-04 00:00:00,1399,1.0,7,0
3503,1343240,Action,"Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '18 Aug, 2022'}",2022-08-18 00:00:00,594,0.0,24,2499
3504,1429150,"Simulation, Early Access","Single-player, Family Sharing","{'coming_soon': False, 'date': '26 Oct, 2023'}",2023-10-26 00:00:00,160,0.0,1,999
3505,1766100,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '19 Oct, 2022'}",2022-10-19 00:00:00,532,1.0,22,999
3506,1276790,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '16 Nov, 2021'}",2021-11-16 00:00:00,869,0.0,34,2999
3507,1283400,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '8 Sep, 2022'}",2022-09-08 00:00:00,573,0.0,22,4999
3508,2239550,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Partial Controller Support","{'coming_soon': False, 'date': '26 Jan, 2023'}",2023-01-26 00:00:00,433,1.0,154,5999
3509,13250,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '17 Mar, 2008'}",2008-03-17 00:00:00,5861,1.0,7,0
