ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer
7600,Strategy,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '4 May, 2007'}",1.0
4520,"Action, Strategy","Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2007'}",1.0
2590,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '7 Nov, 2007'}",0.0
12160,Racing,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '4 Jan, 2008'}",1.0
12140,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '4 Jan, 2008'}",0.0
15270,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '13 May, 2008'}",0.0
12360,Racing,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '26 Aug, 2008'}",0.0
3050,Racing,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '8 Oct, 2008'}",1.0
10090,Action,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '18 Nov, 2008'}",1.0
17470,"Action, Adventure","Single-player, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '9 Jan, 2009'}",0.0
15620,Strategy,"Single-player, Multi-player, Co-op, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '18 Feb, 2009'}",1.0
21780,Racing,"Single-player, Family Sharing","{'coming_soon': False, 'date': '13 Feb, 2009'}",0.0
16720,Action,"Single-player, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '1 May, 2009'}",0.0
32670,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '18 Jun, 2009'}",1.0
21980,Action,"Single-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '2 Jul, 2009'}",0.0
6060,Action,"Single-player, Multi-player, PvP, Online PvP, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '8 Jul, 2009'}",1.0
32350,"Action, Simulation","Single-player, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '8 Jul, 2009'}",0.0
15190,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '13 May, 2008'}",0.0
19800,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '10 Oct, 2008'}",0.0
35300,Strategy,"Single-player, Family Sharing","{'coming_soon': False, 'date': '20 Jul, 2009'}",0.0
8600,Racing,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '15 Oct, 2007'}",1.0
8690,Racing,"Single-player, Multi-player, Downloadable Content, Family Sharing","{'coming_soon': False, 'date': '22 Oct, 2008'}",1.0
4560,"Action, Strategy","Single-player, Multi-player, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '17 Jul, 2007'}",1.0
228200,"Action, Strategy","Single-player, Multi-player, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '11 Sep, 2006'}",1.0
24800,Strategy,"Single-player, Family Sharing","{'coming_soon': False, 'date': '6 Oct, 2009'}",0.0
24840,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '6 Oct, 2009'}",1.0
32420,Action,"Single-player, Multi-player, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '6 Oct, 2009'}",1.0
1500,"Indie, Strategy","Single-player, Full controller support, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '14 Jul, 2005'}",0.0
500,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Captions available, Steam Cloud, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes Source SDK, Commentary available, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '17 Nov, 2008'}",1.0
3230,Strategy,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '6 Aug, 2007'}",1.0
