Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas
702,22380,"Action, RPG","Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': '19 Oct, 2010'}",2010-10-19 00:00:00,4915,0.0,4165
703,42700,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Valve Anti-Cheat enabled, Family Sharing","{'coming_soon': False, 'date': '9 Nov, 2010'}",2010-11-09 00:00:00,4894,1.0,352
704,42710,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Valve Anti-Cheat enabled, Family Sharing","{'coming_soon': False, 'date': '9 Nov, 2010'}",2010-11-09 00:00:00,4894,1.0,136
705,219150,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '23 Oct, 2012'}",2012-10-23 00:00:00,4180,0.0,147
706,208480,Adventure,"Single-player, Multi-player, Partial Controller Support","{'coming_soon': False, 'date': '20 Nov, 2012'}",2012-11-20 00:00:00,4152,1.0,19
707,220240,"Action, Adventure","Single-player, Multi-player, Co-op, Partial Controller Support","{'coming_soon': False, 'date': '4 Dec, 2012'}",2012-12-04 00:00:00,4138,1.0,310
708,202970,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Valve Anti-Cheat enabled, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '12 Nov, 2012'}",2012-11-12 00:00:00,4160,1.0,115
709,202990,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Valve Anti-Cheat enabled, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '12 Nov, 2012'}",2012-11-12 00:00:00,4160,1.0,192
710,212910,,Family Sharing,"{'coming_soon': False, 'date': ''}",-1,2457,0.0,442
711,253710,"Action, Adventure, Free to Play, Simulation, Sports","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases","{'coming_soon': False, 'date': '3 Jun, 2014'}",2014-06-03 00:00:00,3592,1.0,439
712,242860,"Action, Indie, Massively Multiplayer, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '28 Apr, 2015'}",2015-04-28 00:00:00,3263,1.0,41
713,252330,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '28 Oct, 2013'}",2013-10-28 00:00:00,3810,0.0,7
714,265210,"Gore, Indie, Simulation","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '13 Dec, 2013'}",2013-12-13 00:00:00,3764,1.0,12
715,270880,"Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '2 Feb, 2016'}",2016-02-02 00:00:00,2983,1.0,5820
716,224480,"Action, Adventure, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '30 Jan, 2014'}",2014-01-30 00:00:00,3716,1.0,18
717,274170,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '10 Mar, 2015'}",2015-03-10 00:00:00,3312,0.0,228
718,274520,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '17 Aug, 2017'}",2017-08-17 00:00:00,2421,0.0,110
719,280160,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '4 Oct, 2016'}",2016-10-04 00:00:00,2738,1.0,10
720,254700,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '27 Feb, 2014'}",2014-02-27 00:00:00,3688,0.0,491
721,301640,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '6 Mar, 2015'}",2015-03-06 00:00:00,3316,1.0,57
722,9900,"Massively Multiplayer, RPG, Free to Play","Multi-player, MMO, Co-op, Full controller support, In-App Purchases","{'coming_soon': False, 'date': '31 Jan, 2012'}",2012-01-31 00:00:00,4446,1.0,837
723,313120,"Adventure, Indie","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Workshop, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '10 Aug, 2022'}",2022-08-10 00:00:00,602,1.0,313
724,307690,"Action, Adventure, Racing","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '8 Oct, 2014'}",2014-10-08 00:00:00,3465,0.0,506
725,238320,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '4 Sep, 2013'}",2013-09-04 00:00:00,3864,0.0,212
726,327890,"Action, Adventure, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '9 Apr, 2015'}",2015-04-09 00:00:00,3282,0.0,1
727,321360,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV","{'coming_soon': False, 'date': '3 Apr, 2015'}",2015-04-03 00:00:00,3288,1.0,37
