ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas
7860,Action,"Single-player, Multi-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '20 May, 2009'}",1.0,4
32330,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '8 Jul, 2009'}",1.0,60
21120,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '21 May, 2010'}",0.0,7
42670,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '30 Jun, 2010'}",1.0,10
99810,,,,,1
63950,Simulation,"Single-player, Multi-player, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Family Sharing","{'coming_soon': False, 'date': '19 Jul, 2011'}",1.0,0
57900,Action,"Single-player, Multi-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '9 Jun, 2011'}",1.0,46
12130,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '6 Jan, 2011'}",0.0,34
212630,Action,"Single-player, Multi-player, Co-op","{'coming_soon': False, 'date': '26 Jun, 2012'}",1.0,19
4720,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2012'}",0.0,9
3270,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '30 Oct, 2007'}",1.0,6
6920,Action,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Mar, 2007'}",0.0,9
6980,Action,"Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '29 Mar, 2007'}",0.0,12
8080,Action,"Single-player, Multi-player, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '13 Dec, 2007'}",1.0,1
242960,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '24 Sep, 2013'}",0.0,2
407810,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '3 Jun, 2016'}",0.0,3
259170,"Action, Adventure","Single-player, Family Sharing","{'coming_soon': False, 'date': '29 Oct, 2013'}",0.0,5
460810,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '25 May, 2017'}",0.0,13
728740,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '13 May, 2019'}",1.0,45
964800,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '23 Sep, 2022'}",1.0,70
969990,"Action, Adventure, Casual","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '23 Jun, 2020'}",1.0,85
996580,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '3 Sep, 2019'}",0.0,281
548570,Action,"Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '13 May, 2019'}",0.0,84
1920490,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '7 Mar, 2023'}",0.0,192
2096610,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '17 Nov, 2022'}",0.0,90
17710,"Action, Strategy","Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '26 Sep, 2011'}",1.0,0
608110,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '3 May, 2018'}",1.0,1
15380,Strategy,"Single-player, Family Sharing","{'coming_soon': False, 'date': '10 Oct, 2008'}",0.0,37
1630,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '6 Jul, 2006'}",1.0,57
1640,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '6 Jul, 2006'}",1.0,44
65600,RPG,"Single-player, Family Sharing","{'coming_soon': False, 'date': '22 Mar, 2011'}",0.0,21
227260,Utilities,,"{'coming_soon': False, 'date': '29 Mar, 2013'}",,0
1281800,"Adventure, Free to Play, Indie","Single-player, Steam Achievements, Steam Cloud","{'coming_soon': False, 'date': '29 Apr, 2020'}",0.0,35
1286530,"Action, Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing","{'coming_soon': False, 'date': '30 Apr, 2020'}",0.0,0
