ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados
372800,"Adventure, Indie, Massively Multiplayer, RPG, Free to Play, Early Access","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats, Steam Leaderboards, Includes level editor",,1,83,0,1,,-1,708
398850,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing",,0,10,1499,0,,-1,708
403970,RPG,"Single-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing",,0,3,3999,0,,-1,708
471010,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,25,2999,0,,-1,708
573120,"Adventure, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,33,1999,0,,-1,708
378540,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",,0,71,1499,0,,-1,708
672970,"Adventure, RPG","Single-player, Family Sharing",,0,0,699,0,,-1,708
565020,"Action, Adventure, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Steam Trading Cards, In-App Purchases",,1,0,0,1,,-1,708
770070,"Adventure, RPG","Single-player, Family Sharing",,0,1,699,0,,-1,708
780580,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Family Sharing",,0,0,599,0,,-1,708
840800,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Early Access","Single-player, Multi-player, MMO, PvP, Online PvP, Family Sharing",,1,21,1999,0,,-1,708
929010,"Adventure, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,16,1299,0,,-1,708
957440,"Adventure, RPG, Strategy","Single-player, Family Sharing",,0,0,699,0,,-1,708
449960,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing",,0,21,1249,0,,-1,708
1151080,"Free to Play, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards",,0,1,0,0,,-1,708
1390680,"Free to Play, Audio Production",In-App Purchases,"{'date': '9 Oct, 2020'}",0,3,0,1,,09/10/2020 00:00,1277
1614730,"Indie, Simulation, Strategy",Single-player,"{'date': '24 Jun, 2021'}",0,1,0,0,,24/06/2021 00:00,1019
2244800,"Action, Adventure, Indie, RPG, Strategy",Single-player,"{'date': '8 Jun, 2023'}",0,1,0,0,,08/06/2023 00:00,305
2321580,"Action, Adventure, Indie","Single-player, Full controller support","{'date': '22 Sep, 2023'}",0,7,0,0,,22/09/2023 00:00,199
2488510,"Action, Casual, Indie, RPG, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'date': '23 Oct, 2023'}",0,43,499,0,,23/10/2023 00:00,168
1026420,"Indie, RPG, Free to Play","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet","{'date': '2 Oct, 2019'}",0,9,0,0,,02/10/2019 00:00,1650
2586870,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing","{'date': '29 Sep, 2023'}",0,0,0,0,,29/09/2023 00:00,192
