ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased
338330,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '24 Dec, 2018'}",1.0,0,79,0
338760,"Action, Indie","Single-player, Full controller support, Steam Trading Cards, Family Sharing","{'date': '17 Sep, 2015'}",0.0,0,499,0
332530,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '25 Aug, 2015'}",1.0,0,499,0
338830,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '29 Dec, 2014'}",0.0,0,99,0
338930,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '6 Oct, 2015'}",0.0,3,4999,0
222180,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '10 Mar, 2015'}",0.0,0,299,0
339460,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on TV, Family Sharing","{'date': '30 Mar, 2015'}",0.0,0,1199,0
339500,"Action, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Includes level editor, Family Sharing","{'date': '8 Jan, 2015'}",0.0,0,499,0
339590,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '2 Jun, 2017'}",0.0,0,99,0
339690,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Includes level editor, Remote Play Together, Family Sharing","{'date': '31 Mar, 2015'}",1.0,0,999,0
339710,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '23 Nov, 2016'}",0.0,0,99,0
339820,"RPG, Early Access","Single-player, Steam Trading Cards, Family Sharing","{'date': '23 Dec, 2014'}",0.0,0,399,0
337150,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play Together, Family Sharing","{'date': '22 Dec, 2014'}",1.0,17,999,0
340000,Action,"Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '25 Jul, 2016'}",0.0,0,1999,0
340030,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '23 Jun, 2016'}",0.0,0,499,0
340280,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '8 Jan, 2015'}",0.0,0,199,0
340330,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '20 Jan, 2015'}",1.0,0,399,0
340340,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '10 Apr, 2015'}",0.0,0,499,0
340360,"Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '25 Jun, 2015'}",0.0,0,799,0
340390,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing","{'date': '13 Feb, 2015'}",0.0,0,0,0
340440,"Action, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '20 Jul, 2018'}",1.0,0,499,0
340470,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '19 Feb, 2015'}",0.0,0,99,0
