ID del juego,Géneros,Categorías,Multiplayer
728740,Action,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",1.0
964800,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Includes level editor, Family Sharing",1.0
969990,"Action, Adventure, Casual","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",1.0
996580,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.0
548570,Action,"Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing",0.0
1920490,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",0.0
2096610,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",0.0
17710,"Action, Strategy","Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing",1.0
608110,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing",1.0
15380,Strategy,"Single-player, Family Sharing",0.0
1630,Strategy,"Single-player, Multi-player, Co-op, Family Sharing",1.0
1640,Strategy,"Single-player, Multi-player, Co-op, Family Sharing",1.0
65600,RPG,"Single-player, Family Sharing",0.0
227260,Utilities,,
1281800,"Adventure, Free to Play, Indie","Single-player, Steam Achievements, Steam Cloud",0.0
1286530,"Action, Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing",0.0
1287840,"RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",1.0
34190,Racing,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",1.0
3330,Casual,"Single-player, Family Sharing",0.0
280180,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Support, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Family Sharing",1.0
439350,"Action, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Family Sharing",1.0
513510,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing",1.0
529110,"Adventure, Indie, Free to Play","Single-player, Partial Controller Support, Commentary available",0.0
542310,"Adventure, Free to Play, Indie",Single-player,0.0
589870,"Action, Adventure, Casual, Free to Play, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats",0.0
624270,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",0.0
637850,"Adventure, Free to Play, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support",0.0
659190,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",0.0
696140,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Remote Play Together, Family Sharing",1.0
715220,"Action, Free to Play","Multi-player, PvP, Online PvP, In-App Purchases, Steam Cloud, Family Sharing",1.0
809870,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",1.0
813630,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
553660,"Action, Casual, Free to Play, Indie","Multi-player, PvP, Online PvP, Partial Controller Support",1.0
885640,"Indie, Simulation, Free to Play","Single-player, Steam Achievements",0.0
908050,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",1.0
519860,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing",1.0
1028570,Indie,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together",1.0
1037130,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",0.0
1086410,"Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing",1.0
1105620,"Action, Casual, Indie","Single-player, Steam Achievements, Stats, Steam Leaderboards, Family Sharing",0.0
1122720,"Action, Casual","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.0
382560,"Action, Adventure, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, Includes level editor, Family Sharing",1.0
1227800,"Action, Free to Play, Sports, Strategy","Multi-player, PvP, Online PvP, Family Sharing",1.0
555000,"Action, Early Access","Multi-player, PvP, Online PvP, Steam Achievements, Steam Cloud, Family Sharing",1.0
1377150,"Adventure, Casual","Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud",1.0
584640,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",1.0
2231450,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",0.0
2291760,"Action, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",0.0
19980,"Action, Adventure","Single-player, Family Sharing",0.0
356330,,,
650700,"Adventure, Casual, Free to Play, Indie","Single-player, Partial Controller Support, Family Sharing",0.0
740250,"Free to Play, Indie, Massively Multiplayer, Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Partial Controller Support, Includes level editor",1.0
1761390,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Family Sharing",0.0
33900,"Action, Simulation, Strategy","Single-player, Multi-player, Co-op, Captions available, Partial Controller Support, Includes level editor, Family Sharing",1.0
245130,,,
241560,"Action, Massively Multiplayer, Racing","Single-player, Multi-player, MMO, In-App Purchases, Partial Controller Support, Family Sharing",1.0
12250,,"Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.0
1526180,"Adventure, Indie, Massively Multiplayer, RPG","Multi-player, PvP, LAN PvP, Co-op, LAN Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",1.0
672630,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0.0
691020,"Violent, Gore, Action, Free to Play, Indie, Massively Multiplayer",Multi-player,1.0
1136380,"Simulation, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing",1.0
1179680,"Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases",1.0
816180,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing",0.0
1421230,Adventure,"Single-player, Full controller support, Family Sharing",0.0
1449690,Adventure,"Single-player, Steam Achievements, Full controller support, Family Sharing",0.0
320240,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing",0.0
914620,"Action, Adventure, Indie, Simulation, Early Access","Single-player, Family Sharing",0.0
1743830,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",1.0
40400,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing",1.0
65560,Action,"Single-player, Family Sharing",0.0
729460,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing",0.0
802200,"Action, Indie, Free to Play","Single-player, Full controller support, Steam Cloud, Steam Leaderboards",0.0
321400,"Action, Casual, Free to Play, Indie, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Stats",1.0
703940,Sports,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, Family Sharing",1.0
822240,"Adventure, Free to Play, Massively Multiplayer, Simulation, Early Access","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases",1.0
2237980,"Adventure, Casual, Indie",Single-player,0.0
298520,"Action, Indie, Simulation, Free to Play","Single-player, Multi-player, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together",1.0
1238000,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards",1.0
215550,"Violent, Gore, Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing",1.0
251270,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
252610,"Action, Indie, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",1.0
253250,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Trading Cards, Steam Workshop, Remote Play Together, Family Sharing",1.0
264260,"Violent, Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",0.0
269770,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",1.0
270410,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",0.0
284410,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
284990,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",0.0
324060,,,
301990,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
312780,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",0.0
345080,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",0.0
314320,"Casual, Indie, Simulation, Strategy","Single-player, Family Sharing",0.0
315460,"Action, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1.0
317100,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Steam Leaderboards, Commentary available",0.0
241260,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
323490,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",0.0
324160,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
325120,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",0.0
327070,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Stats, Family Sharing",1.0
334280,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0.0
339230,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",0.0
341000,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing",0.0
326480,"Adventure, Casual, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",0.0
349320,"Adventure, Indie","Single-player, Steam Trading Cards, Steam Cloud, Commentary available, Family Sharing",0.0
350310,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",1.0
353560,"Adventure, Casual, Indie","Single-player, Family Sharing",0.0
350500,"Action, Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing",0.0
355000,Utilities,,
356050,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on TV, Family Sharing",0.0
359610,"Action, Adventure","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing",0.0
360170,"Action, Adventure, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",1.0
363130,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",1.0
363680,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Valve Anti-Cheat enabled, Family Sharing",1.0
364050,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
366040,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
230230,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",1.0
373600,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
373620,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",1.0
375710,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing",0.0
376480,"Adventure, Indie, RPG","Single-player, Steam Trading Cards, Family Sharing",0.0
377530,"Adventure, Casual, RPG, Simulation, Strategy","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
385980,"Action, Adventure, Casual, Indie","Single-player, Steam Trading Cards, Partial Controller Support",0.0
386140,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
386160,Action,"Single-player, Partial Controller Support, Family Sharing",0.0
242840,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Family Sharing",0.0
389810,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",0.0
391170,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing",0.0
224460,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0.0
245370,Strategy,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",1.0
275670,"Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
313010,Simulation,"Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0.0
399600,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",0.0
405590,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing",0.0
303210,"Adventure, Indie","Single-player, Captions available, Partial Controller Support, Remote Play on Tablet, Family Sharing",0.0
407310,"Action, Casual, Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing",0.0
377670,"Adventure, Casual, Simulation","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
415200,"Racing, Simulation, Sports, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0.0
417290,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",0.0
378120,,,
425340,"Action, Indie","Single-player, Full controller support, Steam Trading Cards, Family Sharing",0.0
426790,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0.0
430960,"Adventure, Casual, Indie, Simulation","Single-player, Steam Trading Cards, Family Sharing",0.0
2820,"Action, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Family Sharing",0.0
2870,"Action, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Family Sharing",0.0
201310,"Action, Simulation","Single-player, Downloadable Content, Steam Achievements, Full controller support, Captions available, Steam Cloud, Family Sharing",0.0
444140,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support, Steam Cloud, Family Sharing",0.0
259680,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Steam Cloud, Family Sharing",0.0
446390,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing",0.0
448440,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
451630,"Action, Indie","Single-player, Steam Trading Cards, Family Sharing",0.0
452440,Casual,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",0.0
281640,"Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.0
458730,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",0.0
460120,"RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",0.0
467930,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",0.0
