ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas
402170,"Casual, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing",,1,0,299,0,
402220,"Action, Adventure, Casual, Indie, Simulation, Sports","Single-player, Multi-player, Steam Trading Cards, Family Sharing",,1,0,49,0,
402620,Adventure,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,3,3499,0,
402850,"Action, Casual, Indie","Single-player, Steam Trading Cards, Family Sharing",,0,0,194,0,
403510,,,,,1,374,0,
379640,,,,,0,699,0,
405010,,,,,0,599,0,
407020,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",,0,1,399,0,
407150,"Action, Adventure, Casual, Indie, Strategy","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,399,0,
407340,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,999,0,
407680,"Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",,0,0,299,0,
409380,"Casual, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,299,0,
410120,Adventure,"Single-player, Steam Trading Cards, Family Sharing",,0,1,999,0,
410130,Adventure,"Single-player, Steam Trading Cards, Family Sharing",,0,0,999,0,
409310,,,,,0,399,0,
411120,Strategy,"Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing",,1,0,199,0,
412730,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",,0,1,499,0,
413680,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",,0,0,499,0,
414080,"Adventure, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,999,0,
416030,"Casual, Free to Play, Indie, RPG, Simulation, Strategy","Single-player, Full controller support, Steam Trading Cards, Steam Cloud",,0,0,0,0,
416200,"Adventure, Casual, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing",,0,0,499,0,
416370,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Stats, Family Sharing",,0,0,499,0,
417110,"Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Steam Cloud, Commentary available, Family Sharing",,0,0,999,0,
418960,"Action, Adventure, Casual, Indie","Single-player, Steam Trading Cards, Family Sharing",,0,0,299,0,
419090,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing",,1,0,249,0,
420100,Casual,"Single-player, Family Sharing",,0,0,1999,0,
420770,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",,0,0,699,0,
421180,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,0,0,
421260,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",,0,0,599,0,
421880,"Action, Adventure, Casual, Indie, Strategy","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,799,0,
