ID del juego,Fecha de Lanzamiento
327070,"{'coming_soon': False, 'date': '7 Feb, 2023'}"
334280,"{'coming_soon': False, 'date': '5 Jul, 2016'}"
339230,"{'coming_soon': False, 'date': '18 Aug, 2015'}"
341000,"{'coming_soon': False, 'date': '13 Sep, 2016'}"
326480,"{'coming_soon': False, 'date': '24 Nov, 2014'}"
349320,"{'coming_soon': False, 'date': '30 Mar, 2015'}"
350310,"{'coming_soon': False, 'date': '28 May, 2015'}"
353560,"{'coming_soon': False, 'date': '5 Mar, 2015'}"
350500,"{'coming_soon': False, 'date': '6 Mar, 2015'}"
355000,"{'coming_soon': False, 'date': '7 Jun, 2016'}"
356050,"{'coming_soon': False, 'date': '11 Aug, 2015'}"
359610,"{'coming_soon': False, 'date': '12 Jan, 2016'}"
360170,"{'coming_soon': False, 'date': '8 Sep, 2016'}"
363130,"{'coming_soon': False, 'date': '25 Jun, 2015'}"
363680,"{'coming_soon': False, 'date': '21 Apr, 2016'}"
364050,"{'coming_soon': False, 'date': '9 Jun, 2017'}"
366040,"{'coming_soon': False, 'date': '27 Aug, 2015'}"
230230,"{'coming_soon': False, 'date': '30 Jun, 2014'}"
373600,"{'coming_soon': False, 'date': '23 Sep, 2015'}"
373620,"{'coming_soon': False, 'date': '23 Sep, 2015'}"
375710,"{'coming_soon': False, 'date': '1 Jul, 2015'}"
376480,"{'coming_soon': False, 'date': '2 Dec, 2016'}"
377530,"{'coming_soon': False, 'date': '28 Apr, 2016'}"
385980,"{'coming_soon': False, 'date': '23 Jul, 2015'}"
386140,"{'coming_soon': False, 'date': '2 Jun, 2017'}"
386160,"{'coming_soon': False, 'date': '17 Jul, 2015'}"
242840,"{'coming_soon': False, 'date': '3 Apr, 2015'}"
389810,"{'coming_soon': False, 'date': '4 Sep, 2015'}"
391170,"{'coming_soon': False, 'date': '14 Aug, 2015'}"
224460,"{'coming_soon': False, 'date': '15 Nov, 2013'}"
245370,"{'coming_soon': False, 'date': '25 Mar, 2015'}"
275670,"{'coming_soon': False, 'date': '13 Jun, 2014'}"
313010,"{'coming_soon': False, 'date': '5 Feb, 2015'}"
399600,"{'coming_soon': False, 'date': '4 May, 2016'}"
405590,"{'coming_soon': False, 'date': '11 Dec, 2015'}"
303210,"{'coming_soon': False, 'date': '1 Oct, 2015'}"
407310,"{'coming_soon': False, 'date': '21 Apr, 2017'}"
377670,"{'coming_soon': False, 'date': '5 Nov, 2015'}"
415200,"{'coming_soon': False, 'date': '9 Nov, 2016'}"
417290,"{'coming_soon': False, 'date': '13 Mar, 2018'}"
378120,
425340,"{'coming_soon': False, 'date': '22 Jan, 2016'}"
426790,"{'coming_soon': False, 'date': '16 Aug, 2016'}"
430960,
2820,
2870,
201310,
444140,
259680,
446390,
448440,
451630,
452440,
281640,
458730,
460120,
467930,
467960,
470590,
473460,
485040,
486690,
489460,
491060,
491420,
496810,
500440,
352550,
504390,
514310,
542240,
542930,
549100,
337340,"{'coming_soon': False, 'date': '14 Dec, 2017'}"
551730,
552410,
552620,
555260,
555280,
559610,
570770,
571530,
576770,
577000,
597120,
602930,
610310,
618610,
619340,
512020,
549240,
234270,
629540,
639450,
392110,
644200,
649580,
650760,
656200,
676090,
684300,
689070,
716340,
741260,
587620,
787480,
793460,
825630,
560130,
836640,
849740,
882790,
899970,
907270,
912370,
640820,
933300,
392160,
952860,
994730,
1000080,
1089630,
1108320,
1128920,
1182620,
1189490,
1189630,
1305300,
1235140,
1342330,
1348180,
1424720,
1559390,
1582890,
1585570,
1831250,
1846330,
1948980,
1973710,
2055050,
