ID del juego,Géneros,Categorías
345640,"Adventure, RPG","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
346090,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
346140,"Adventure, Casual","Single-player, Steam Trading Cards, Family Sharing"
346180,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing"
346200,"Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing"
346340,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing"
343810,"Adventure, Indie","Single-player, Family Sharing"
343830,"Adventure, Indie","Single-player, Family Sharing"
346430,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
342020,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing"
346490,"Action, Indie","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing"
346810,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
346830,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing"
346850,"Action, Adventure, Free to Play, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud"
347040,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing"
347060,"Simulation, Sports","Single-player, Steam Cloud, Family Sharing"
347160,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing"
347410,,
347730,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing"
346370,"Action, Indie","Multi-player, Steam Achievements, Partial Controller Support, Stats, Family Sharing"
348270,"Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing"
348340,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
348450,"Action, Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing"
348730,"Action, Adventure, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing"
348650,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing"
348800,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud"
348840,"Indie, Strategy","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Remote Play Together"
348870,"Adventure, Casual","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing"
349140,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
349220,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
349250,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Family Sharing"
349260,"Action, Indie","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing"
349690,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing"
349840,"Indie, Strategy","Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Cloud"
349950,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing"
