ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados,Minutos jugadas Totales
529110,"Adventure, Indie, Free to Play","Single-player, Partial Controller Support, Commentary available","{'date': '21 Oct, 2016'}",0.0,1,0,0,,21/10/2016 00:00,2726,142
542310,"Adventure, Free to Play, Indie",Single-player,"{'date': '13 Oct, 2016'}",0.0,1,0,0,,13/10/2016 00:00,2734,10
589870,"Action, Adventure, Casual, Free to Play, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats","{'date': '12 May, 2017'}",0.0,142,0,1,,12/05/2017 00:00,2523,6999
624270,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '27 Sep, 2017'}",0.0,24,1999,0,,27/09/2017 00:00,2385,218
637850,"Adventure, Free to Play, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support","{'date': '27 May, 2017'}",0.0,2,0,0,,27/05/2017 00:00,2508,400
659190,"Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'date': '10 Nov, 2017'}",0.0,1,699,0,,10/11/2017 00:00,2341,117
696140,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Remote Play Together, Family Sharing","{'date': '2 Oct, 2017'}",1.0,0,1499,0,,02/10/2017 00:00,2380,836
715220,"Action, Free to Play","Multi-player, PvP, Online PvP, In-App Purchases, Steam Cloud, Family Sharing","{'date': '18 Dec, 2019'}",1.0,1,0,1,,18/12/2019 00:00,1573,1402
809870,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '4 Sep, 2018'}",1.0,0,999,0,,04/09/2018 00:00,2043,1086
813630,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '5 Apr, 2019'}",0.0,59,1999,0,,05/04/2019 00:00,1830,4738
553660,"Action, Casual, Free to Play, Indie","Multi-player, PvP, Online PvP, Partial Controller Support","{'date': '6 Apr, 2018'}",1.0,3,0,0,,06/04/2018 00:00,2194,698
885640,"Indie, Simulation, Free to Play","Single-player, Steam Achievements","{'date': '13 Jul, 2018'}",0.0,0,0,0,,13/07/2018 00:00,2096,138
908050,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'date': '16 Jul, 2019'}",1.0,0,899,0,,16/07/2019 00:00,1728,54
519860,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing","{'date': '10 Dec, 2018'}",1.0,75,1999,0,,10/12/2018 00:00,1946,987
1028570,Indie,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together","{'date': '12 Mar, 2019'}",1.0,1,0,0,,12/03/2019 00:00,1854,12
1037130,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '25 Mar, 2021'}",0.0,4,1999,0,,25/03/2021 00:00,1110,2078
1086410,"Casual, Indie, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing","{'date': '4 Dec, 2020'}",1.0,2,499,0,,04/12/2020 00:00,1221,1469
1105620,"Action, Casual, Indie","Single-player, Steam Achievements, Stats, Steam Leaderboards, Family Sharing","{'date': '26 Aug, 2019'}",0.0,0,199,0,,26/08/2019 00:00,1687,11
1122720,"Action, Casual","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'date': '12 Dec, 2019'}",0.0,1,1299,0,,12/12/2019 00:00,1579,255
382560,"Action, Adventure, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, Includes level editor, Family Sharing","{'date': '19 Sep, 2019'}",1.0,17,1999,0,,19/09/2019 00:00,1663,5499
1227800,"Action, Free to Play, Sports, Strategy","Multi-player, PvP, Online PvP, Family Sharing","{'date': '21 Feb, 2020'}",1.0,0,0,0,,21/02/2020 00:00,1508,240
555000,"Action, Early Access","Multi-player, PvP, Online PvP, Steam Achievements, Steam Cloud, Family Sharing","{'date': '10 Jul, 2019'}",1.0,2,599,0,,10/07/2019 00:00,1734,4320
1377150,"Adventure, Casual","Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud","{'date': '28 Aug, 2020'}",1.0,39,0,0,,28/08/2020 00:00,1319,2397
584640,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'date': '24 Sep, 2021'}",1.0,3,299,0,,24/09/2021 00:00,927,724
2231450,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'date': '26 Jan, 2023'}",0.0,2058,1999,0,,26/01/2023 00:00,438,9215
2291760,"Action, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'date': '31 Mar, 2023'}",0.0,239,599,0,,31/03/2023 00:00,374,2821
19980,"Action, Adventure","Single-player, Family Sharing","{'date': '10 Dec, 2008'}",0.0,22,199,0,,10/12/2008 00:00,5598,1670
650700,"Adventure, Casual, Free to Play, Indie","Single-player, Partial Controller Support, Family Sharing","{'date': '10 Jan, 2018'}",0.0,55,0,0,,10/01/2018 00:00,2280,173
740250,"Free to Play, Indie, Massively Multiplayer, Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Partial Controller Support, Includes level editor","{'date': '4 May, 2018'}",1.0,1,0,0,,04/05/2018 00:00,2166,1025
1761390,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Family Sharing","{'date': '26 May, 2022'}",0.0,290,3939,0,,26/05/2022 00:00,683,1316
33900,"Action, Simulation, Strategy","Single-player, Multi-player, Co-op, Captions available, Partial Controller Support, Includes level editor, Family Sharing",{'date': ''},1.0,0,1299,0,,-1,708,2550
241560,"Action, Massively Multiplayer, Racing","Single-player, Multi-player, MMO, In-App Purchases, Partial Controller Support, Family Sharing","{'date': '2 Dec, 2014'}",1.0,4,0,1,,02/12/2014 00:00,3415,61830
12250,,"Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Family Sharing",{'date': ''},0.0,0,0,0,,-1,708,496
1526180,"Adventure, Indie, Massively Multiplayer, RPG","Multi-player, PvP, LAN PvP, Co-op, LAN Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '12 Nov, 2021'}",1.0,0,299,0,,12/11/2021 00:00,878,64
672630,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'date': '28 Jan, 2021'}",0.0,28,1999,0,,28/01/2021 00:00,1166,718
691020,"Violent, Gore, Action, Free to Play, Indie, Massively Multiplayer",Multi-player,"{'date': '22 Feb, 2018'}",1.0,0,0,0,,22/02/2018 00:00,2237,474
1136380,"Simulation, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing","{'date': '22 Aug, 2022'}",1.0,22,1999,0,,22/08/2022 00:00,595,128
1179680,"Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases","{'date': '24 Jul, 2020'}",1.0,151,0,1,,24/07/2020 00:00,1354,19
