ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados
1162700,"Action, Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",,0,2,749,0,-1,1398
1174640,"Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",,0,4,2499,0,-1,1398
1181400,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",,0,0,899,0,-1,1398
1194590,"RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing",,0,7,3099,0,-1,1398
1302050,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",,0,2,1499,0,-1,1398
1370050,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,3,1999,0,-1,1398
1511830,"Simulation, Strategy","Single-player, Steam Achievements, Family Sharing",,0,0,799,0,-1,1398
1543150,"Indie, Simulation, Strategy, Early Access","Single-player, Family Sharing",,0,6,1899,0,-1,1398
1578650,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,74,1999,0,-1,1398
1654660,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,10,1999,0,-1,1398
1741640,"Simulation, Strategy","Single-player, Family Sharing",,0,40,1999,0,-1,1398
1920780,Adventure,"Single-player, Full controller support, Family Sharing","{'date': 'Aug 9, 2023'}",0,22,2999,0,-1,1398
1989270,"Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,327,1439,0,-1,1398
1046790,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing",,0,4,1999,0,-1,1398
2067780,"Adventure, Indie, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,38,1699,0,-1,1398
