ID del juego,Repeticiones,Minutos Totales
544810,46,38984
698780,136,38732
746510,1,124
765180,1,4
620590,22,7998
204450,71,35512
913740,9,1145
962400,1,363
999730,31,4978
761890,186,487373
1164850,12,588
1289310,91,7782
1291790,1,260
1304930,44,62818
1407200,57,132508
1238810,106,243543
1674170,5,6932
1679290,6,1030
1944430,7,2005
2124780,2,232
1840,83,35165
20,43,61687
474960,36,19948
588650,69,115269
617670,61,12034
847370,14,11835
1238820,8,5215
1237970,101,65019
1262540,19,15272
1398210,11,7880
239140,392,1910460
1818450,60,230595
220,240,183817
340,80,6376
280,34,11986
360,32,3104
17410,92,22294
115100,10,4428
115110,4,1299
201700,50,12867
40390,15,4969
211500,85,109442
263280,55,37039
265930,102,28784
296770,6,1098
320150,6,3712
321040,138,59266
384300,22,330762
421020,29,26273
48000,118,17167
273350,185,74570
530700,98,20202
555570,196,242841
616700,6,211
700170,2,4
734750,25,7572
480430,51,4170
792300,10,1173
1151640,75,963220
310560,114,1083067
1237980,10,4738
1222680,136,149709
1262580,34,28899
1293830,88,306609
1531720,9,1101
17390,64,57762
99900,99,417091
319510,40,3849
219740,120,104370
633230,50,44760
747610,53,93206
783770,61,10192
795100,23,4475
872200,71,44469
977400,18,172762
1017180,16,8551
1352080,15,3377
1390350,11,4859
1419170,21,7167
1568590,159,114714
1607250,47,22610
264710,119,225721
1244460,15,8511
1714040,45,29755
2232840,11,446
2281730,31,4988
6860,27,7409
231060,18,7564
323370,75,118867
380600,249,227771
236870,100,71881
770240,8,18296
1203620,21,28732
242920,45,60253
288160,27,5420
425580,22,4226
512160,10,1579
544730,16,3693
588430,191,140721
848450,36,47833
1044720,9,13881
1085510,23,2785
1097200,3,637
1509960,75,14609
2080690,19,15176
2296990,50,6166
2551020,40,3770
219640,206,342256
256410,3,13858
253430,23,12041
234670,27,23560
247730,23,8137
22100,32,26079
48700,116,933222
45760,30,23074
255420,5,1022
313040,1,7
316010,27,24163
241930,137,131349
322170,124,387794
218680,38,11129
369200,41,10230
439700,43,12819
1785120,1,47
674750,13,2252
1397920,27,101411
1029550,50,4563
226580,10,7012
320300,54,32205
280790,133,77259
518150,12,3392
705210,50,33150
924140,42,3351
893520,55,30738
996470,68,153542
1449850,96,383892
1665460,113,313119
